source,target,edge_type
225625,52107606,member_of
225635,202114870,member_of
225635,202114871,member_of
421231,245319331,member_of
421231,249959798,member_of
421231,247728772,member_of
421231,343709085,member_of
421231,245319452,member_of
421231,50438015,member_of
421231,51510707,member_of
421231,51510708,member_of
421231,51510709,member_of
421231,69347950,member_of
421231,69347953,member_of
421231,69347948,member_of
421231,191384121,member_of
421231,69347944,member_of
421231,69347952,member_of
421231,51510704,member_of
421231,69347947,member_of
421231,69347951,member_of
421231,69347945,member_of
421231,69347949,member_of
421231,69347943,member_of
421231,69347946,member_of
421231,69347954,member_of
421231,69347942,member_of
443850,51795751,member_of
443850,222988734,member_of
443850,65126472,member_of
443850,64015436,member_of
443850,184157718,member_of
443850,148428197,member_of
443850,148428198,member_of
443850,148440803,member_of
443850,51794329,member_of
443850,63073371,member_of
443850,63073299,member_of
443850,281956085,member_of
443850,281956086,member_of
443850,270594424,member_of
447057,315194845,member_of
447057,315194677,member_of
447057,315194695,member_of
447057,315194792,member_of
447057,315194723,member_of
447057,315194708,member_of
447057,315194688,member_of
447057,315194682,member_of
447057,315194668,member_of
447057,315194676,member_of
447057,315194807,member_of
447057,315194736,member_of
447057,315194820,member_of
447057,315194711,member_of
447057,315194662,member_of
447057,315194689,member_of
447057,315194773,member_of
447057,315337171,member_of
447057,315337172,member_of
447057,315337169,member_of
447057,315337158,member_of
447057,315337170,member_of
447057,315337163,member_of
447057,315337168,member_of
447057,315337159,member_of
447057,315337160,member_of
447057,315349028,member_of
447057,315349032,member_of
447057,315349030,member_of
447057,315349029,member_of
447057,315349034,member_of
447057,315349033,member_of
447057,315349031,member_of
447057,315347070,member_of
447057,315347077,member_of
447057,315347071,member_of
447057,315347067,member_of
447057,315347064,member_of
447057,315347076,member_of
447057,315347072,member_of
447057,315347073,member_of
447057,315347068,member_of
447057,315347069,member_of
447057,315347075,member_of
447057,315347078,member_of
447057,315347074,member_of
447057,315347100,member_of
447057,315433723,member_of
447057,139974557,member_of
447057,40901850,member_of
447057,303964422,member_of
447057,249854255,member_of
447057,40900388,member_of
447057,304041822,member_of
447057,408975450,member_of
447057,52068571,member_of
447057,315194566,member_of
447057,315194555,member_of
447057,315194574,member_of
447057,315194560,member_of
447057,315194568,member_of
447057,315194565,member_of
447057,315194559,member_of
447057,315194563,member_of
447057,315194571,member_of
447057,315194558,member_of
447057,315194557,member_of
